"Deferred Expense","المصاريف الآجلة"
"LDAP Group Mappings","ربط مجموعات LDAP"
"LDAP Group Member attribute","سمة عضو مجموعة LDAP"
"LDAP Last Name Field","حقل اسم العائلة في LDAP"
"LDAP Middle Name Field","حقل الاسم الأوسط في LDAP"
"LDAP Mobile Field","حقل الجوال في LDAP"
"LDAP Phone Field","حقل الهاتف في LDAP"
"LDAP Search and Paths","بحث ومسارات LDAP"
"LDAP search path for Groups","مسار بحث المجموعات في LDAP"
"LDAP search path for Users","مسار بحث المستخدمين في LDAP"
"LDAP Search String","سلسلة بحث LDAP"
"LDAP Security","أمان LDAP"
"LDAP Server Settings","إعدادات خادم LDAP"
"LDAP Server Url","رابط خادم LDAP"
"LDAP User Creation and Mapping","إنشاء وربط مستخدمي LDAP"
"LDAP Username Field","حقل اسم المستخدم في LDAP"
"Lead Name","اسم العميل المحتمل"
"Lead Owner","مالك العميل المحتمل"
"Lead Time","مدة التوريد"
"Lead Time Date","تاريخ مدة التوريد"
"Lead Time in days","مدة التوريد (بالأيام)"
"Lead Type","نوع العميل المحتمل"
"Leads","العملاء المحتملون"
"Leave Encashed?","هل صُرفت الإجازة؟"
"Left Child","الابن الأيسر"
"Left Index","الفهرس الأيسر"
"Legacy Fields","الحقول القديمة"
"Length","الطول"
"Length (cm)","الطول (سم)"
"Letter Head Based On","الترويسة بناءً على"
"Letter Head Image","صورة الترويسة"
"Letter Head Name","اسم الترويسة"
"Level","المستوى"
"Level (BOM)","المستوى (قائمة المواد)"
"Level Name","اسم المستوى"
"Lft","يسار"
"License","الرخصة"
"License Details","تفاصيل الرخصة"
"License Number","رقم الرخصة"
"License Plate","لوحة الترخيص"
"License Type","نوع الرخصة"
"Light Color","لون فاتح"
"Like limit","حد الإعجابات"
"Likes","الإعجابات"
"Limit","الحد"
"Limit Number of DB Backups","تحديد عدد النسخ الاحتياطية لقاعدة البيانات"
"Limit timeslot for Stock Reposting","تحديد فترة زمنية لإعادة ترحيل المخزون"
"Limits don't apply on","الحدود لا تنطبق على"
"Line spacing for amount in words","تباعد الأسطر للمبلغ بالكلمات"
"Link","الرابط"
"Link Cards","بطاقات الروابط"
"Link Count","عدد الروابط"
"Link Details","تفاصيل الرابط"
"Link DocType","ربط نوع المستند"
"Link Document Type","ربط نوع المستند"
"Link Field Results Limit","حد نتائج حقل الربط"
"Link Fieldname","اسم حقل الربط"
"Link Filters","فلاتر الربط"
"Link Name","اسم الرابط"
"Link Options","خيارات الرابط"
"Link Title","عنوان الرابط"
"Link To","ربط بـ"
"Link Type","نوع الرابط"
"Linked Documents","المستندات المرتبطة"
"Linked Invoices","الفواتير المرتبطة"
"Links","الروابط"
"List / Search Settings","إعدادات القائمة / البحث"
"List Columns","أعمدة القائمة"
"List setting message","رسالة إعداد القائمة"
"List Settings","إعدادات القائمة"
"Load All Criteria","تحميل كافة المعايير"
"Loan End Date","تاريخ انتهاء القرض"
"Loan Period (Days)","فترة القرض (بالأيام)"
"Loan Start Date","تاريخ بدء القرض"
"Location Details","تفاصيل الموقع"
"Location Name","اسم الموقع"
"Locked","مُقفل"
"Log","سجل"
"Log Data","بيانات السجل"
"Log DocType","نوع مستند السجل"
"Log Entries","إدخالات السجل"
"Log Index","فهرس السجل"
"Login","تسجيل الدخول"
"Login After","تسجيل الدخول بعد"
"Login Before","تسجيل الدخول قبل"
"Login Methods","طرق تسجيل الدخول"
"Login Page","صفحة تسجيل الدخول"
"Login required","تسجيل الدخول مطلوب"
"Login with email link","تسجيل الدخول برابط البريد"
"Login with email link expiry (in minutes)","انتهاء صلاحية رابط تسجيل الدخول (بالدقائق)"
"Logo","الشعار"
"Logout All Sessions on Password Reset","تسجيل الخروج من كافة الجلسات عند إعادة تعيين كلمة المرور"
"Logout From All Devices After Changing Password","تسجيل الخروج من كافة الأجهزة بعد تغيير كلمة المرور"
"Logs to Clear","السجلات المطلوب مسحها"
"Longitude","خط الطول"
"Lost Reason","سبب الفقد"
"Lost Reasons","أسباب الفقد"
"Loyalty Amount","مبلغ الولاء"
"Loyalty Points","نقاط الولاء"
"Loyalty Points Redemption","استبدال نقاط الولاء"
"Loyalty Program Help","مساعدة برنامج الولاء"
"Loyalty Program Name","اسم برنامج الولاء"
"Loyalty Program Tier","فئة برنامج الولاء"
"Loyalty Program Type","نوع برنامج الولاء"
"Main Cost Center","مركز التكلفة الرئيسي"
"Main Section","القسم الرئيسي"
"Main Section (HTML)","القسم الرئيسي (HTML)"
"Main Section (Markdown)","القسم الرئيسي (Markdown)"
"Maintain Same Rate Throughout Sales Cycle","الحفاظ على نفس السعر خلال دورة المبيعات"
"Maintain Same Rate Throughout the Purchase Cycle","الحفاظ على نفس السعر خلال دورة المشتريات"
"Maintain Stock","متابعة المخزون"
"Maintenance","الصيانة"
"Maintenance Date","تاريخ الصيانة"
"Maintenance Details","تفاصيل الصيانة"
"Maintenance Manager","مدير الصيانة"
"Maintenance Manager Name","اسم مدير الصيانة"
"Maintenance Required","الصيانة مطلوبة"
"Maintenance Role","دور الصيانة"
"Maintenance Schedule Detail","تفاصيل جدول الصيانة"
"Maintenance Status","حالة الصيانة"
"Maintenance Task","مهمة الصيانة"
"Maintenance Tasks","مهام الصيانة"
"Maintenance Team","فريق الصيانة"
"Maintenance Team Members","أعضاء فريق الصيانة"
"Maintenance Team Name","اسم فريق الصيانة"
"Maintenance Time","وقت الصيانة"
"Maintenance Type","نوع الصيانة"
"Major","التخصص"
"Major/Optional Subjects","المواد الرئيسية/الاختيارية"
"Make","الصنع"
"Make "name" searchable in Global Search","جعل "الاسم" قابلاً للبحث في البحث العام"
"Make Attachment Public (by default)","جعل المرفق عامًا (افتراضيًا)"
"Make Attachments Public by Default","جعل المرفقات عامة افتراضيًا"
"Make Depreciation Entry","إنشاء قيد إهلاك"
"Make Difference Entry","إنشاء قيد فروقات"
"Make Payment via Journal Entry","إجراء السداد عبر قيد يومية"
"Make Sales Invoice","إنشاء فاتورة مبيعات"
"Make Serial No / Batch from Work Order","إنشاء رقم تسلسلي / باتش من أمر العمل"
"Mandatory","إلزامي"
"Mandatory Depends On","الإلزامية تعتمد على"
"Mandatory Depends On (JS)","الإلزامية تعتمد على (JS)"
"Mandatory For Balance Sheet","إلزامي للميزانية العمومية"
"Mandatory For Profit and Loss Account","إلزامي لحساب الأرباح والخسائر"
"Mandatory Section","قسم إلزامي"
"Manual Inspection","فحص يدوي"
"Manufacture","تصنيع"
"Manufactured Qty","الكمية المصنَّعة"
"Manufacturer Part Number","رقم قطعة المصنِّع"
"Manufacturing","التصنيع"
"Manufacturing Date","تاريخ التصنيع"
"Manufacturing Section","قسم التصنيع"
"Manufacturing Type","نوع التصنيع"
"Margin","الهامش"
"Margin Bottom","الهامش السفلي"
"Margin Left","الهامش الأيسر"
"Margin Money","مبلغ الهامش"
"Margin Rate or Amount","معدل أو مبلغ الهامش"
"Margin Right","الهامش الأيمن"
"Margin Top","الهامش العلوي"
"Margin Type","نوع الهامش"
"MariaDB Variables","متغيرات MariaDB"
"Marital Status","الحالة الاجتماعية"
"Mask","قناع"
"Material Request Date","تاريخ طلب المواد"
"Material Request Detail","تفاصيل طلب المواد"
"Material Request Item","بند طلب المواد"
"Material Request Plan Item","بند خطة طلب المواد"
"Material Request Planning","تخطيط طلب المواد"
"Material Request Type","نوع طلب المواد"
"Material Requests","طلبات المواد"
"Material Transferred for Manufacturing","المواد المنقولة للتصنيع"
"material_request_item","بند_طلب_المواد"
"Materials Required (Exploded)","المواد المطلوبة (المفجرة)"
"Max Amount","المبلغ الأقصى"
"Max Amt","المبلغ الأقصى"
"Max attachment size","الحجم الأقصى للمرفق"
"Max Attachments","العدد الأقصى للمرفقات"
"Max auto email report per user","الحد الأقصى لتقارير البريد التلقائية لكل مستخدم"
"Max Discount (%)","الخصم الأقصى (%)"
"Max File Size (MB)","الحجم الأقصى للملف (ميجابايت)"
"Max Grade","الدرجة القصوى"
"Max Height","الارتفاع الأقصى"
"Max Length","الطول الأقصى"
"Max Qty","الكمية القصوى"
"Max Qty (As Per Stock UOM)","الكمية القصوى (حسب وحدة قياس المخزون)"
"Max Report Rows","العدد الأقصى لصفوف التقرير"
"Max Sample Quantity","كمية العينة القصوى"
"Max Score","النتيجة القصوى"
"Max Value","القيمة القصوى"
"Maximum Invoice Amount","المبلغ الأقصى للفاتورة"
"Maximum Net Rate","صافي السعر الأقصى"
"Maximum Number of Fields","العدد الأقصى للحقول"
"Maximum Payment Amount","المبلغ الأقصى للسداد"
"Maximum Points","النقاط القصوى"
"Maximum Use","الاستخدام الأقصى"
"Maximum Value","القيمة القصوى"
"Medium","الوسيط"
"Meets Condition?","يفي بالشرط؟"
"Memory Usage","استخدام الذاكرة"
"Mentions","الإشارات"
"Merge Invoices Based On","دمج الفواتير بناءً على"
"Merge Similar Account Heads","دمج الحسابات الرئيسية المتشابهة"
"Merged","مدمج"
"Message","الرسالة"
"Message (HTML)","الرسالة (HTML)"
"Message (Markdown)","الرسالة (Markdown)"
"Message Examples","أمثلة على الرسائل"
"Message for Supplier","رسالة للمورّد"
"Message ID","رمز الرسالة"
"Message Parameter","معامل الرسالة"
"Message to show","الرسالة المطلوب عرضها"
"Message Type","نوع الرسالة"
"Message-id","رمز_الرسالة"
"Messages","الرسائل"
"Meta","بيانات وصفية"
"Meta description","الوصف"
"Meta image","صورة وصفية"
"Meta Tags","وسوم وصفية"
"Meta title","العنوان"
"Method","الطريقة"
"Middle Name","الاسم الأوسط"
"Min Amount","المبلغ الأدنى"
"Min Amt","المبلغ الأدنى"
"Min Grade","الدرجة الدنيا"
"Min Order Qty","الحد الأدنى لكمية الطلب"
"Min Qty","الكمية الدنيا"
"Min Qty (As Per Stock UOM)","الكمية الدنيا (حسب وحدة قياس المخزون)"
"Minimum Invoice Amount","المبلغ الأدنى للفاتورة"
"Minimum Net Rate","صافي السعر الأدنى"
"Minimum Order Qty","الحد الأدنى لكمية الطلب"
"Minimum Order Quantity","الحد الأدنى لكمية الطلب"
"Minimum Password Score","الحد الأدنى لتقييم كلمة المرور"
"Minimum Payment Amount","المبلغ الأدنى للسداد"
"Minimum Total Spent","إجمالي الإنفاق الأدنى"
"Minimum Value","القيمة الدنيا"
"Minor","فرعي"
"Minute","دقيقة"
"Minutes","دقائق"
"Mixed Conditions","شروط مختلطة"
"Mobile","الجوال"
"Mobile No","رقم الجوال"
"Modal Trigger","مشغل النافذة الحوارية"
"Model","الموديل"
"Modes of Payment","طرق السداد"
"Module","الوحدة"
"Module (for export)","الوحدة (للتصدير)"
"Module HTML","وحدة HTML"
"Module Name","اسم الوحدة"
"Module Profile Name","اسم ملف تعريف الوحدة"
"Modules HTML","وحدات HTML"
"Monday","الاثنين"
"Monitor for Last 'X' days","مراقبة لآخر 'X' أيام"
"Monitor Progress","مراقبة التقدم"
"Monitoring Frequency","تكرار المراقبة"
"Month","الشهر"
"Monthly Distribution Percentages","نسب التوزيع الشهري"
"Monthly Sales Target","هدف المبيعات الشهري"
"More Info","مزيد من المعلومات"
"More Information","مزيد من المعلومات"
"Multi Currency","متعدد العملات"
"Multiplier Field","حقل المضاعف"
"Must be Whole Number","يجب أن يكون عددًا صحيحًا"
"Mute Email","كتم البريد"
"Mute Sounds","كتم الأصوات"
"Name","الاسم"
"Name and Employee ID","الاسم والرقم الوظيفي"
"Name of Beneficiary","اسم المستفيد"
"Named Place","مكان مسمى"
"Naming","التسمية"
"Naming Rule","قاعدة التسمية"
"Naming Series","تسلسل التسمية"
"Naming Series and Price Defaults","تسلسل التسمية وأسعار افتراضية"
"Naming Series Prefix","بادئة تسلسل التسمية"
"Navbar","شريط التنقل"
"Navbar Template","قالب شريط التنقل"
"Navbar Template Values","قيم قالب شريط التنقل"
"Navigation Settings","إعدادات التنقل"
"Net Amount","المبلغ الصافي"
"Net Amount (Company Currency)","المبلغ الصافي (بعملة الشركة)"
"Net Hour Rate","صافي معدل الساعة"
"Net Purchase Amount","صافي مبلغ الشراء"
"Net Rate","السعر الصافي"
"Net Rate (Company Currency)","السعر الصافي (بعملة الشركة)"
"Net Total","الإجمالي الصافي"
"Net Total (Company Currency)","الإجمالي الصافي (بعملة الشركة)"
"Net Weight","الوزن الصافي"
"Net Weight UOM","وحدة قياس الوزن الصافي"
"New Asset Value","قيمة الأصل الجديدة"
"New Balance In Account Currency","الرصيد الجديد بعملة الحساب"
"New Balance In Base Currency","الرصيد الجديد بالعملة الأساسية"
"New BOM","قائمة مواد جديدة"
"New Document Form","نموذج مستند جديد"
"New Exchange Rate","سعر صرف جديد"
"New Expenses","مصروفات جديدة"
"New Income","إيرادات جديدة"
"New Name","اسم جديد"
"New Purchase Invoice","فاتورة مشتريات جديدة"
"New Purchase Orders","أوامر شراء جديدة"
"New Quotations","عروض أسعار جديدة"
"New Sales Invoice","فاتورة مبيعات جديدة"
"New Sales Orders","أوامر بيع جديدة"
"New Users (Last 30 days)","مستخدمون جدد (آخر 30 يومًا)"
"New Workplace","مكان عمل جديد"
"Next Action Email Template","قالب بريد الإجراء التالي"
"Next Actions HTML","الإجراءات التالية HTML"
"Next Depreciation Date","تاريخ الإهلاك التالي"
"Next Due Date","تاريخ الاستحقاق التالي"
"Next email will be sent on:","سيتم إرسال البريد التالي في:"
"Next Execution","التنفيذ التالي"
"Next Form Tour","جولة النموذج التالية"
"Next on Click","التالي عند النقر"
"Next Schedule Date","تاريخ الجدولة التالي"
"Next State","الحالة التالية"
"Next Step Condition","شرط الخطوة التالية"
"Next Sync Token","رمز المزامنة التالي"
"No Copy","بدون نسخة"
"no failed attempts","لا توجد محاولات فاشلة"
"No of Docs","عدد المستندات"
"No of Employees","عدد الموظفين"
"No of Months (Expense)","عدد الأشهر (مصروف)"
"No of Months (Revenue)","عدد الأشهر (إيراد)"
"No of Requested SMS","عدد الرسائل المطلوبة"
"No of Rows (Max 500)","عدد الصفوف (الأقصى 500)"
"No of Sent SMS","عدد الرسائل المرسلة"
"No of Shares","عدد الأسهم"
"No of Visits","عدد الزيارات"
"No. of Employees","عدد الموظفين"
"Non Depreciable Category","فئة غير قابلة للإهلاك"
"Non Negative","غير سالب"
"nonce","رمز nonce"
"Normalized Copies","نسخ مسواة"
"Normalized Query","استعلام مسوى"
"Not Helpful","غير مفيد"
"Notes","ملاحظات"
"Notes HTML","ملاحظات HTML"
"Notice (days)","إشعار (أيام)"
"Notifications","الإشعارات"
"notified","تم الإشعار"
"Notify by email","الإشعار بالبريد"
"Notify by Email on Creation of Automatic Material Request","الإشعار بالبريد عند إنشاء طلب مواد تلقائي"
"Notify Employee","إشعار الموظف"
"Notify if unreplied","الإشعار في حال عدم الرد"
"Notify if unreplied for (in mins)","الإشعار في حال عدم الرد لمدة (دقائق)"
"Notify Other","إشعار آخرين"
"Notify Reposting Error to Role","إشعار الدور بخطأ إعادة الترحيل"
"Notify Supplier","إشعار المورّد"
"Notify Users On Every Login","إشعار المستخدمين عند كل تسجيل دخول"
"Notify users with a popup when they log in","إشعار المستخدمين بنافذة منبثقة عند تسجيل الدخول"
"Notify Via Email","الإشعار عبر البريد"
"Number","الرقم"
"Number Card Name","اسم بطاقة الرقم"
"Number Cards","بطاقات الأرقام"
"Number Format","تنسيق الرقم"
"Number of Backups","عدد النسخ الاحتياطية"
"Number of Columns","عدد الأعمدة"
"Number of Concurrent Appointments","عدد المواعيد المتزامنة"
"Number of Days","عدد الأيام"
"Number of days appointments can be booked in advance","عدد أيام حجز المواعيد مسبقًا"
"Number of DB Backups","عدد النسخ الاحتياطية لقاعدة البيانات"
"Number of Groups","عدد المجموعات"
"Number of keys","عدد المفاتيح"
"Number of onsite backups","عدد النسخ الاحتياطية المحلية"
"Number of Queries","عدد الاستعلامات"
"Numeric","رقمي"
"Numeric Inspection","فحص رقمي"
"Numeric Values","قيم رقمية"
"OAuth Client ID","رمز عميل OAuth"
"Objective","الهدف"
"Objectives","الأهداف"
"Occurrences","مرات الحدوث"
"Odometer Value (Last)","قراءة عداد المسافات (الأخيرة)"
"Offer Date","تاريخ العرض"
"Offset X","إزاحة X"
"Offset Y","إزاحة Y"
"Offsetting Account","الحساب المقابل"
"Old Parent","الأصل القديم"
"old_parent","الأصل_القديم"
"Oldest Unscheduled Job","أقدم مهمة غير مجدولة"
"On Hold Since","معلَّق منذ"
"Onboard","تأهيل"
"Onboarding Status","حالة التأهيل"
"Only Allow Edit For","السماح بالتعديل فقط لـ"
"Only Deduct Tax On Excess Amount ","خصم الضريبة فقط على المبلغ الزائد"
"Only for","فقط لـ"
"Only Include Allocated Payments","تضمين الدفعات المخصصة فقط"
"Only Send Records Updated in Last X Hours","إرسال السجلات المحدثة في آخر X ساعات فقط"
"Open Activities HTML","الأنشطة المفتوحة HTML"
"Open Documents","المستندات المفتوحة"
"Open Issues","المشاكل المفتوحة"
"Open Notifications","الإشعارات المفتوحة"
"Open Projects","المشاريع المفتوحة"
"Open Quotations","عروض الأسعار المفتوحة"
"Open Reference Document","فتح المستند المرجعي"
"Open To Do","فتح قائمة المهام"
"Open URL in a New Tab","فتح الرابط في علامة تبويب جديدة"
"OpenID Configuration","تهيئة OpenID"
"Opening Accumulated Depreciation","مجمع الإهلاك الافتتاحي"
"Opening Amount","المبلغ الافتتاحي"
"Opening Balance Details","تفاصيل الرصيد الافتتاحي"
"Opening Date","تاريخ الافتتاح"
"Opening Number of Booked Depreciations","عدد الإهلاكات المقيدة الافتتاحي"
"Opening Stock","المخزون الافتتاحي"
"Opening Time","وقت الافتتاح"
"Operating Cost","تكلفة التشغيل"
"Operating Cost (Company Currency)","تكلفة التشغيل (بعملة الشركة)"
"Operating Cost Per BOM Quantity","تكلفة التشغيل لكمية قائمة المواد"
"Operating Cost(Company Currency)","تكلفة التشغيل (بعملة الشركة)"
"Operating Costs","تكاليف التشغيل"
"Operation & Workstation","العملية ومحطة العمل"
"Operation Cost","تكلفة العملية"
"Operation Description","وصف العملية"
"Operation ID","رمز العملية"
"Operation Row Number","رقم صف العملية"
"Operation Time","زمن العملية"
"Operations","العمليات"
"Operator","المشغِّل"
"Opportunities","الفرص البيعية"
"Opportunity Amount","مبلغ الفرصة البيعية"
"Opportunity Amount (Company Currency)","مبلغ الفرصة البيعية (بعملة الشركة)"
"Opportunity Date","تاريخ الفرصة البيعية"
"Opportunity From","الفرصة البيعية من"
"Opportunity Item","بند الفرصة البيعية"
"Opportunity Owner","مالك الفرصة البيعية"
"Opportunity Value","قيمة الفرصة البيعية"
"Optimize Route","تحسين المسار"
"Options","الخيارات"
"Options Help","مساعدة الخيارات"
"Order","الأمر"
"Order Confirmation Date","تاريخ تأكيد الأمر"
"Order Confirmation No","رقم تأكيد الأمر"
"Order Date","تاريخ الأمر"
"Order Information","معلومات الأمر"
"Order No","رقم الأمر"
"Order Status","حالة الأمر"
"Order Type","نوع الأمر"
"Ordered Qty","الكمية المطلوبة"
"Ordered Quantity","الكمية المطلوبة"
"Org History","السجل التنظيمي"
"Org History Heading","عنوان السجل التنظيمي"
"Organization","المؤسسة"
"Organization Name","اسم المؤسسة"
"Orientation","التوجيه"
"Original Item","الصنف الأصلي"
"Other","أخرى"
"Other Details","تفاصيل أخرى"
"Other Info","معلومات أخرى"
"Other Settings","إعدادات أخرى"
"OTP Issuer Name","اسم مُصدر كلمة المرور لمرة واحدة"
"Outgoing (SMTP) Settings","إعدادات الصادر (SMTP)"
"Outgoing Emails (Last 7 days)","رسائل البريد الصادرة (آخر 7 أيام)"
"Outgoing Rate","معدل الصادر"
"Outgoing Server","الخادم الصادر"
"Outgoing Settings","إعدادات الصادر"
"Output","المخرجات"
"Outstanding","مستحق"
"Outstanding (Company Currency)","المستحق (بعملة الشركة)"
"Outstanding Amount","المبلغ المستحق"
"Over Billing Allowance (%)","سماحية الفوترة الزائدة (%)"
"Over Delivery/Receipt Allowance (%)","سماحية التسليم/الاستلام الزائدة (%)"
"Over Picking Allowance","سماحية الانتقاء الزائدة"
"Over Transfer Allowance","سماحية التحويل الزائدة"
"Over Transfer Allowance (%)","سماحية التحويل الزائدة (%)"
"Overdue Days","أيام التأخير"
"Overdue Payments","الدفعات المتأخرة"
"Overproduction for Sales and Work Order","الإنتاج الزائد لأمر البيع وأمر العمل"
"Overproduction Percentage For Sales Order","نسبة الإنتاج الزائد لأمر البيع"
"Overproduction Percentage For Work Order","نسبة الإنتاج الزائد لأمر العمل"
"Overview","نظرة عامة"
"Package Name","اسم الحزمة"
"Package Weight Details","تفاصيل وزن الحزمة"
"Packed Items","الأصناف المعبأة"
"Packed Qty","الكمية المعبأة"
"Packing List","قائمة التعبئة"
"Packing Unit","وحدة التعبئة"
"Page Break","فاصل صفحات"
"Page Break After Each SoA","فاصل صفحات بعد كل كشف حساب"
"Page Building Blocks","كتل بناء الصفحة"
"Page HTML","صفحة HTML"
"Page Name","اسم الصفحة"
"Page Number","رقم الصفحة"
"Page Route","مسار الصفحة"
"Page Settings","إعدادات الصفحة"
"Page Title","عنوان الصفحة"
"Paid Amount","المبلغ المدفوع"
"Paid Amount (Company Currency)","المبلغ المدفوع (بعملة الشركة)"
"Paid Amount After Tax","المبلغ المدفوع بعد الضريبة"
"Paid Amount After Tax (Company Currency)","المبلغ المدفوع بعد الضريبة (بعملة الشركة)"
"Paid From Account Type","نوع الحساب المسدَّد منه"
"Paid Loan","القرض المسدَّد"
"Paid To Account Type","نوع الحساب المسدَّد إليه"
"Pallets","المنصات النقالة"
"PAN No","رقم الحساب الدائم"
"Parameter","المعامل"
"Parameter Group","مجموعة المعاملات"
"Parameter Group Name","اسم مجموعة المعاملات"
"Parameter Name","اسم المعامل"
"Parameters","المعاملات"
"Parcel Template","قالب الطرد"
"Parcel Template Name","اسم قالب الطرد"
"Parcels","الطرود"
"Parent","الأصل"
"Parent Account","الحساب الأصل"
"Parent Batch","الباتش الأصل"
"Parent Company","الشركة الأم"
"Parent Cost Center","مركز التكلفة الأصل"
"Parent Customer Group","مجموعة العملاء الأصل"
"Parent Department","الإدارة الأصل"
"Parent Detail docname","اسم تفصيل المستند الأصل"
"Parent DocType","نوع المستند الأصل"
"Parent Document","المستند الأصل"
"Parent Document Type","نوع المستند الأصل"
"Parent Element Selector","محدد العنصر الأصل"
"Parent Field","الحقل الأصل"
"Parent Field (Tree)","الحقل الأصل (شجرة)"
"Parent Item","الصنف الأصل"
"Parent Item Group","مجموعة الأصناف الأصل"
"Parent Label","التسمية الأصل"
"Parent Location","الموقع الأصل"
"Parent Page","الصفحة الأصل"
"Parent Procedure","الإجراء الأصل"
"Parent Row No","رقم الصف الأصل"
"Parent Sales Person","مندوب المبيعات الأصل"
"Parent Supplier Group","مجموعة المورّدين الأصل"
"Parent Task","المهمة الأصل"
"Parent Territory","المنطقة الأصل"
"Parent Warehouse","المستودع الأصل"
"Partial","جزئي"
"Participants","المشاركون"
"Partner Type","نوع الشريك"
"Partner website","موقع الشريك"
"Party","الطرف"
"Party Account Currency","عملة حساب الطرف"
"Party Account No. (Bank Statement)","رقم حساب الطرف (كشف الحساب)"
"Party Balance","رصيد الطرف"
"Party Bank Account","الحساب البنكي للطرف"
"Party Details","تفاصيل الطرف"
"Party Full Name","الاسم الكامل للطرف"
"Party IBAN (Bank Statement)","رقم الحساب الدولي للطرف (كشف الحساب)"
"Party Information","معلومات الطرف"
"Party Item Code","رمز الصنف لدى الطرف"
"Party Name","اسم الطرف"
"Party Name/Account Holder (Bank Statement)","اسم الطرف/صاحب الحساب (كشف الحساب)"
"Party User","مستخدم الطرف"
"Passport Details","تفاصيل جواز السفر"
"Passport Number","رقم جواز السفر"
"Password","كلمة المرور"
"Password for Base DN","كلمة مرور الاسم المميز الأساسي"
"Password Reset Link Generation Limit","حد إنشاء روابط إعادة تعيين كلمة المرور"
"Patch","تصحيح برمجي"
"Path","المسار"
"Path to CA Certs File","مسار ملف شهادات المرجع المصدق"
"Path to private Key File","مسار ملف المفتاح الخاص"
"Path to Server Certificate","مسار شهادة الخادم"
"Pay To / Recd From","الدفع إلى / الاستلام من"
"Payables","الذمم الدائنة"
"Payer Settings","إعدادات الدافع"
"Payload Count","عدد الحمولة"
"Payment Account","حساب السداد"
"Payment Amount","مبلغ السداد"
"Payment Amount (Company Currency)","مبلغ السداد (بعملة الشركة)"
"Payment Channel","قناة السداد"
"Payment Deductions or Loss","استقطاعات أو خسائر السداد"
"Payment Document","مستند السداد"
"Payment Due Date","تاريخ استحقاق السداد"
"Payment Entries","قيود السداد"
"Payment From / To","السداد من / إلى"
"Payment Gateway","بوابة الدفع"
"Payment Gateway Details","تفاصيل بوابة الدفع"
"Payment Limit","حد السداد"
"Payment Methods","طرق السداد"
"Payment Order Reference","مرجع أمر السداد"
"Payment Order Status","حالة أمر السداد"
"Payment Order Type","نوع أمر السداد"
"Payment Plan","خطة السداد"
"Payment Reconciliation Settings","إعدادات تسوية الدفعات"
"Payment Reference","مرجع السداد"
"Payment References","مراجع السداد"
"Payment Request Outstanding","طلب السداد المستحق"
"Payment Request Type","نوع طلب السداد"
"Payment Schedule","جدول السداد"
"Payment Term Name","اسم شرط السداد"
"Payment Term Outstanding","شرط السداد المستحق"
"Payment Terms","شروط السداد"
"Payment Type","نوع السداد"
"Payments","المدفوعات"
"PDF Generator","مولد PDF"
"PDF Name","اسم PDF"
"PDF Page Height (in mm)","ارتفاع صفحة PDF (ملم)"
"PDF Page Size","حجم صفحة PDF"
"PDF Page Width (in mm)","عرض صفحة PDF (ملم)"
"PDF Settings","إعدادات PDF"
"Peak Memory Usage","ذروة استخدام الذاكرة"
"Pending Emails","رسائل البريد المعلقة"
"Pending Jobs","المهام المعلقة"
"Pending Qty","الكمية المعلقة"
"Per Received","لكل مستلم"
"Per Transferred","لكل منقول"
"Percentage (%)","النسبة المئوية (%)"
"Percentage Allocation","توزيع النسبة المئوية"
"Period","الفترة"
"Period Closing Settings","إعدادات إقفال الفترة"
"Period Details","تفاصيل الفترة"
"Period End Date","تاريخ انتهاء الفترة"
"Period Name","اسم الفترة"
"Period Score","نتيجة الفترة"
"Period Settings","إعدادات الفترة"
"Period Start Date","تاريخ بدء الفترة"
"Period To Date","الفترة حتى تاريخه"
"Period_from_date","الفترة_من_تاريخ"
"Periodicity","الدورية"
"Perm Level","مستوى الصلاحية"
"Permanent Address","العنوان الدائم"
"Permanent Address Is","العنوان الدائم هو"
"Permission Level","مستوى الصلاحية"
"Permission Rules","قواعد الصلاحيات"
"Permission Type","نوع الصلاحية"
"Permissions","الصلاحيات"
"Permitted Roles","الأدوار المسموح بها"
"Personal","شخصي"
"Personal Email","البريد الشخصي"
"Phone","الهاتف"
"Phone Ext.","التحويلة"
"Phone No","رقم الهاتف"
"Phone No.","رقم الهاتف"
"Phone Number","رقم الهاتف"
"Pick List Item","بند قائمة الانتقاء"
"Pick Manually","انتقاء يدوي"
"Pick Serial / Batch Based On","انتقاء الرقم التسلسلي / الباتش بناءً على"
"Pick Serial / Batch No","انتقاء الرقم التسلسلي / الباتش بناءً على"
"Picked Qty","الكمية المنتقاة"
"Picked Qty (in Stock UOM)","الكمية المنتقاة (بوحدة قياس المخزون)"
"Pickup Contact Person","مسؤول الاستلام"
"Pickup Date","تاريخ الاستلام"
"Pickup from","الاستلام من"
"Pickup to","الاستلام إلى"
"Pickup Type","نوع الاستلام"
"PID","رمز العملية"
"PIN","الرقم السري"
"Pincode","الرمز البريدي"
"Place of Issue","مكان الإصدار"
"Placeholder","عنصر نائب"
"Plaid Access Token","رمز وصول Plaid"
"Plaid Client ID","رمز عميل Plaid"
"Plaid Environment","بيئة Plaid"
"Plaid Secret","المفتاح السري لـ Plaid"
"Plan","الخطة"
"Plan Name","اسم الخطة"
"Plan to Request Qty","الكمية المخطط طلبها"
"Planned End Date","تاريخ الانتهاء المخطط"
"Planned End Time","وقت الانتهاء المخطط"
